日付,高値,安値,終値,出来高
2017/1/4,4025,3985,4005,529500
2017/1/5,4085,3990,4070,932300
2017/1/6,4165,4060,4150,873300
2017/1/10,4145,4070,4080,538100
2017/1/11,4120,4035,4050,543600
2017/1/12,4090,4050,4055,356200
2017/1/13,4140,4065,4140,437200
2017/1/16,4195,4125,4145,350300
2017/1/17,4150,4100,4120,239700
2017/1/18,4185,4100,4180,447200
2017/1/19,4190,4100,4110,607500
2017/1/20,4110,4010,4025,631100
2017/1/23,4050,3990,4015,453400
2017/1/24,4070,4025,4035,641900
2017/1/25,4190,4090,4185,966300
2017/1/26,3770,3530,3755,6193500
2017/1/27,3765,3720,3725,1384000
2017/1/30,3710,3675,3690,907600
2017/1/31,3665,3610,3625,1037200
2017/2/1,3620,3570,3615,828300
2017/2/2,3705,3615,3625,878800
2017/2/3,3680,3605,3620,560600
2017/2/6,3635,3605,3620,391200
2017/2/7,3620,3585,3590,365800
2017/2/8,3600,3540,3545,675900
2017/2/9,3575,3515,3525,422300
2017/2/10,3590,3540,3570,426800
2017/2/13,3615,3585,3605,398200
2017/2/14,3635,3600,3610,318900
2017/2/15,3650,3590,3620,419100
2017/2/16,3620,3555,3600,521600
2017/2/17,3585,3560,3575,439400
2017/2/20,3570,3540,3540,313100
2017/2/21,3555,3500,3515,624700
2017/2/22,3535,3490,3525,502400
2017/2/23,3635,3535,3590,1043800
2017/2/24,3900,3655,3895,3058300
2017/2/27,3875,3785,3805,859900
2017/2/28,3950,3860,3870,1201600
2017/3/1,3860,3805,3860,643900
2017/3/2,3940,3905,3915,588600
2017/3/3,4075,3935,3980,1274900
2017/3/6,4000,3900,3940,510700
2017/3/7,3920,3850,3895,521700
2017/3/8,3910,3865,3905,272400
2017/3/9,3960,3910,3955,353900
2017/3/10,4045,4000,4040,840900
2017/3/13,4050,3990,4045,646600
2017/3/14,4030,3980,4010,522700
2017/3/15,4085,4000,4085,859900
2017/3/16,4095,4030,4080,441100
2017/3/17,4055,3995,4055,438800
2017/3/21,4180,4030,4175,917200
2017/3/22,4220,4105,4185,1227400
2017/3/23,4250,4120,4125,872800
2017/3/24,4130,4055,4090,597800
2017/3/27,4100,4040,4090,604400
2017/3/28,4140,4080,4110,452500
2017/3/29,4230,4130,4220,711600
2017/3/30,4215,4175,4200,402400
2017/3/31,4320,4210,4275,966700
2017/4/3,4370,4235,4365,993700
2017/4/4,4365,4220,4250,743100
2017/4/5,4330,4170,4230,605400
2017/4/6,4220,4175,4215,560500
2017/4/7,4290,4185,4245,591000
2017/4/10,4255,4180,4210,578100
2017/4/11,4190,4080,4115,686400
2017/4/12,4085,4010,4060,577500
2017/4/13,4045,3975,4025,467200
2017/4/14,3995,3935,3960,469700
2017/4/17,3975,3835,3955,511500
2017/4/18,4050,3960,3995,426600
2017/4/19,4030,3975,4010,355500
2017/4/20,4065,4000,4040,330600
2017/4/21,3995,3895,3905,977400
2017/4/24,3965,3905,3960,467100
2017/4/25,4130,3960,4125,1155500
2017/4/26,4315,4165,4220,1897500
2017/4/27,3905,3795,3885,4584200
