日付,高値,安値,終値,出来高
2018/6/19,6000,4965,5300,36447300
2018/6/20,5360,4810,4910,13924300
2018/6/21,4965,4565,4810,9053400
2018/6/22,4850,4550,4550,3941900
2018/6/25,4650,4195,4270,4443400
2018/6/26,4730,4165,4545,6396900
2018/6/27,4890,4600,4710,5348100
2018/6/28,4705,4545,4675,1757600
2018/6/29,4775,4530,4535,1677400
2018/7/2,4795,4535,4540,1987400
2018/7/3,4655,4300,4440,1796100
2018/7/4,4460,4325,4395,1031300
2018/7/5,4460,4270,4290,1293700
2018/7/6,4375,4220,4225,945700
2018/7/9,4480,4245,4450,1259800
2018/7/10,4695,4455,4555,2064000
2018/7/11,4605,4465,4470,667300
2018/7/12,4580,4435,4460,806900
2018/7/13,4515,4365,4410,801800
2018/7/17,4415,4325,4325,572800
2018/7/18,4415,4245,4390,796400
2018/7/19,4650,4340,4595,1812700
2018/7/20,4800,4630,4800,2570000
2018/7/23,4975,4770,4835,2184400
2018/7/24,4875,4720,4745,1155600
2018/7/25,4815,4720,4775,853900
2018/7/26,4780,4545,4560,961700
2018/7/27,4755,4615,4685,993900
2018/7/30,4825,4700,4720,1019400
2018/7/31,4850,4680,4710,1073200
2018/8/2,4645,4560,4565,460900
2018/8/3,4635,4570,4600,308500
2018/8/6,4615,4505,4505,370200
2018/8/7,4615,4525,4600,445300
2018/8/8,4645,4570,4620,420700
2018/8/9,4815,4650,4735,1459200
2018/8/10,4375,4220,4225,4208100
2018/8/13,4100,3875,3915,2594800
2018/8/14,3900,3650,3865,2479400
2018/8/15,3910,3745,3780,1142900
2018/8/17,3865,3810,3835,429700
