3938 東証1部 ＬＩＮＥ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","3990","4025","3985","4005","529500","4005"
"2017-01-05","4000","4085","3990","4070","932300","4070"
"2017-01-06","4060","4165","4060","4150","873300","4150"
"2017-01-10","4145","4145","4070","4080","538100","4080"
"2017-01-11","4120","4120","4035","4050","543600","4050"
"2017-01-12","4065","4090","4050","4055","356200","4055"
"2017-01-13","4065","4140","4065","4140","437200","4140"
"2017-01-16","4195","4195","4125","4145","350300","4145"
"2017-01-17","4145","4150","4100","4120","239700","4120"
"2017-01-18","4145","4185","4100","4180","447200","4180"
"2017-01-19","4170","4190","4100","4110","607500","4110"
"2017-01-20","4100","4110","4010","4025","631100","4025"
"2017-01-23","4025","4050","3990","4015","453400","4015"
"2017-01-24","4045","4070","4025","4035","641900","4035"
"2017-01-25","4090","4190","4090","4185","966300","4185"
"2017-01-26","3770","3770","3530","3755","6193500","3755"
"2017-01-27","3760","3765","3720","3725","1384000","3725"
"2017-01-30","3705","3710","3675","3690","907600","3690"
"2017-01-31","3655","3665","3610","3625","1037200","3625"
"2017-02-01","3590","3620","3570","3615","828300","3615"
"2017-02-02","3640","3705","3615","3625","878800","3625"
"2017-02-03","3635","3680","3605","3620","560600","3620"
"2017-02-06","3620","3635","3605","3620","391200","3620"
"2017-02-07","3610","3620","3585","3590","365800","3590"
"2017-02-08","3585","3600","3540","3545","675900","3545"
"2017-02-09","3540","3575","3515","3525","422300","3525"
"2017-02-10","3565","3590","3540","3570","426800","3570"
"2017-02-13","3605","3615","3585","3605","398200","3605"
"2017-02-14","3630","3635","3600","3610","318900","3610"
"2017-02-15","3640","3650","3590","3620","419100","3620"
"2017-02-16","3615","3620","3555","3600","521600","3600"
"2017-02-17","3575","3585","3560","3575","439400","3575"
"2017-02-20","3560","3570","3540","3540","313100","3540"
"2017-02-21","3535","3555","3500","3515","624700","3515"
"2017-02-22","3515","3535","3490","3525","502400","3525"
"2017-02-23","3540","3635","3535","3590","1043800","3590"
"2017-02-24","3660","3900","3655","3895","3058300","3895"
"2017-02-27","3850","3875","3785","3805","859900","3805"
"2017-02-28","3875","3950","3860","3870","1201600","3870"
"2017-03-01","3830","3860","3805","3860","643900","3860"
"2017-03-02","3940","3940","3905","3915","588600","3915"
"2017-03-03","3980","4075","3935","3980","1274900","3980"
"2017-03-06","3995","4000","3900","3940","510700","3940"
"2017-03-07","3920","3920","3850","3895","521700","3895"
"2017-03-08","3890","3910","3865","3905","272400","3905"
"2017-03-09","3915","3960","3910","3955","353900","3955"
"2017-03-10","4015","4045","4000","4040","840900","4040"
"2017-03-13","4000","4050","3990","4045","646600","4045"
"2017-03-14","4025","4030","3980","4010","522700","4010"
"2017-03-15","4010","4085","4000","4085","859900","4085"
"2017-03-16","4095","4095","4030","4080","441100","4080"
"2017-03-17","4035","4055","3995","4055","438800","4055"
"2017-03-21","4035","4180","4030","4175","917200","4175"
"2017-03-22","4105","4220","4105","4185","1227400","4185"
"2017-03-23","4210","4250","4120","4125","872800","4125"
"2017-03-24","4100","4130","4055","4090","597800","4090"
"2017-03-27","4060","4100","4040","4090","604400","4090"
"2017-03-28","4105","4140","4080","4110","452500","4110"
"2017-03-29","4135","4230","4130","4220","711600","4220"
"2017-03-30","4215","4215","4175","4200","402400","4200"
"2017-03-31","4215","4320","4210","4275","966700","4275"
"2017-04-03","4245","4370","4235","4365","993700","4365"
"2017-04-04","4365","4365","4220","4250","743100","4250"
"2017-04-05","4275","4330","4170","4230","605400","4230"
"2017-04-06","4180","4220","4175","4215","560500","4215"
"2017-04-07","4285","4290","4185","4245","591000","4245"
"2017-04-10","4245","4255","4180","4210","578100","4210"
"2017-04-11","4180","4190","4080","4115","686400","4115"
"2017-04-12","4035","4085","4010","4060","577500","4060"
"2017-04-13","3995","4045","3975","4025","467200","4025"
"2017-04-14","3960","3995","3935","3960","469700","3960"
"2017-04-17","3885","3975","3835","3955","511500","3955"
"2017-04-18","4005","4050","3960","3995","426600","3995"
"2017-04-19","3990","4030","3975","4010","355500","4010"
"2017-04-20","4000","4065","4000","4040","330600","4040"
"2017-04-21","3985","3995","3895","3905","977400","3905"
"2017-04-24","3920","3965","3905","3960","467100","3960"
"2017-04-25","3990","4130","3960","4125","1155500","4125"
"2017-04-26","4210","4315","4165","4220","1897500","4220"
"2017-04-27","3885","3905","3795","3885","4584200","3885"
"2017-04-28","3930","3940","3860","3865","832900","3865"
"2017-05-01","3810","3820","3655","3670","2025200","3670"
"2017-05-02","3735","3740","3690","3705","947100","3705"
"2017-05-08","3755","3765","3720","3735","773300","3735"
"2017-05-09","3760","3790","3755","3760","679800","3760"
"2017-05-10","3785","3825","3770","3795","757500","3795"
"2017-05-11","3825","3835","3790","3835","811900","3835"
"2017-05-12","3850","3900","3820","3875","968300","3875"
"2017-05-15","3840","3915","3835","3900","1095800","3900"
"2017-05-16","3915","3920","3860","3890","590500","3890"
"2017-05-17","3850","3870","3825","3865","680800","3865"
"2017-05-18","3770","3820","3750","3805","995900","3805"
"2017-05-19","3810","3825","3760","3790","632200","3790"
"2017-05-22","3840","3865","3795","3845","751600","3845"
"2017-05-23","3855","3885","3835","3860","574600","3860"
"2017-05-24","3860","3870","3825","3855","381600","3855"
"2017-05-25","3855","3875","3845","3860","561600","3860"
"2017-05-26","3895","3935","3835","3860","821500","3860"
"2017-05-29","3845","3860","3820","3830","427700","3830"
"2017-05-30","3835","3870","3805","3870","427800","3870"
"2017-05-31","3810","3865","3790","3810","1780900","3810"
"2017-06-01","3945","4070","3915","3990","2795100","3990"
"2017-06-02","3990","4235","3980","4110","2704600","4110"
"2017-06-05","4060","4100","4015","4070","654700","4070"
